Event,Type,Begin Date,End Date,Summary,CPI-AUnadjusted  Estimated Cost (in Billions),Deaths
Southeast Tornadoes and Northern Storms and FloodingJanuary 2020,Severe Storm,"January 10, 2020","January 12, 2020","More than 80 tornadoes and severe storms caused damage across many southeastern states (AL, AR, GA, IL, IN, KY, LA, MS, MO, NC, OH, SC, TN, TX, VA, WI). Storms and severe flooding also impacted northern states including Michigan, Wisconsin and New York. Significant damage occurred along the shoreline of Lake Michigan to roads, the foundation of homes and to Port Milwaukee. These powerful waves were generated by high winds and a lack of seasonal ice cover.",$1.4 CI,10
Texas Tornadoes and Central Severe WeatherOctober 2019,Severe Storm,"October 20, 2019","October 20, 2019","Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes, vehicles, businesses and other public infrastructure. Tornadoes up to EF-3 intensity with maximum winds of 140 mph tracked across a large section of highly developed northern Dallas. Additionally high winds and hail damage also caused damage in other states including Oklahoma, Missouri, Arkansas, Louisiana and Tennessee.",$2.1 CI,2
Tropical Storm ImeldaSeptember 2019,Tropical Cyclone,"September 17, 2019","September 21, 2019","Tropical storm and its remnants cause 24 to 36 inches of rainfall over a 3-day period across a large area between Houston and Beaumont, Texas. The largest storm total, 43.39 inches, was reported at North Fork Taylors Bayou, Texas. Many thousands of homes, cars and businesses were impacted by flood water due to this extraordinarily heavy rainfall. Imelda is yet another of the historically extreme rainfall and flood events that have become a regular occurrence across Southeast Texas over the last 5 years.",$6.2 CI,5
"Mississippi River, Midwest and Southern FloodingJuly 2019",Flooding,"March 15, 2019","July 31, 2019","Additional major flooding impacted many Southern Plains states significantly affecting agriculture, roads, bridges, levees, dams and other assets across many cities and towns. The states most affected were Oklahoma, Nebraska, Missouri, Illinois, Kansas, Arkansas, Kentucky, Tennessee, Texas, Mississippi and Louisiana. Very high water levels also disrupted barge traffic along the Mississippi River, which negatively impacted a variety of dependent industries. Indiana and Ohio were also affected by persistent heavy rainfall that flooded farmland, which prevented and reduced crop planting by millions of acres.",$7.6 CI,4
Central Severe WeatherMay 2019,Severe Storm,"May 16, 2019","May 18, 2019","Central severe storms across the Illinois, Indiana, Iowa and Texas damaged many homes, businesses and vehicles.",$1.2 CI,0
South and Southeast Severe WeatherMay 2019,Severe Storm,"May 7, 2019","May 13, 2019","Persistent severe storms impacted numerous states from Texas to North Carolina (TX, OK, KS, AR, LA, MS, AL, NC). Tornadoes and damaging hail particularly affected Texas, Louisiana and North Carolina focused across the Raleigh metro region.",$1.9 CI,0
Southern and Eastern Tornadoes and Severe WeatherApril 2019,Severe Storm,"April 13, 2019","April 14, 2019","Tornado outbreak and severe storms impacted many states (TX, LA, MS, AL, GA, NC, OH and PA). More than 50 tornadoes occurred across central Mississippi and Alabama causing damage to vehicles, homes and businesses. More than 25 additional tornadoes also caused damage across several eastern states from Georgia to Pennsylvania. These severe storms also delivered damaging hail and high wind damage that was widespread across many Southern and and Eastern states.",$1.6 CI,7
Texas Hail StormMarch 2019,Severe Storm,"March 22, 2019","March 24, 2019","Texas hail storm over the Dallas metroplex damaged many homes, businesses and vehicles. Oklahoma also received hail damage resulting from the same severe weather system.",$1.9 CI,0
Southwest/Southern Plains DroughtSummer-Fall 2018,Drought,"June 1, 2018","December 30, 2018","Drought conditions were present across numerous Southwestern and Plains states (TX, OK, KS, MO, CO, NM, AZ, UT). The most extreme drought conditions continue to persist across the Four Corners region of the Southwest. The agriculture sector has been impacted across the affected states including damage to field crops from lack of rainfall. Ranchers have also be forced to sell-off livestock early in some regions due to high feeding costs.",$3.8 CI,0
Texas Hail StormJune 2018,Severe Storm,"June 6, 2018","June 6, 2018","Large-hail impacts highly-populated area of the Dallas-Ft. Worth metroplex. Golfball to baseball-sized hail damages many homes, vehicles and businesses.",$1.6 CI,0
Central and Eastern Severe WeatherMay 2018,Severe Storm,"May 13, 2018","May 15, 2018","Severe storm damage across many Central states including TX, KS, CO, OK, MO, IL, IN, IA and OH. This was followed by a derecho event across the Northeastern states of MD, NJ, NY, PA, VA, WV, MA and CT that caused widespread high wind damage. Also, there were one dozen tornadoes reported across PA, NY and CT causing further damage.",$1.7 CI,5
Central and Northeast Severe WeatherMay 2018,Severe Storm,"May 1, 2018","May 4, 2018","Numerous central states (KS, NE, OK, TX, NM, MO, IA, IL, IN, OH, WI) were impacted by large hail and tornadoes. Several northeastern states including NY, PA and VT were also impacted by high wind damage from severe storms.",$1.8 CI,0
Southern and Eastern Tornadoes and Severe WeatherApril 2018,Severe Storm,"April 13, 2018","April 16, 2018","Tornadoes and severe storms with large hail cause widespread damage across many Southern and Eastern states (AR, FL, GA, LA, MD, MI, MS, MO, NJ, NY, NC, PA, SC, TX, VA) over a multi-day period. There were over 70 confirmed tornadoes largely clustered in Louisiana, Mississippi, North Carolina and Virginia. This same system also caused winter storm impacts of high wind and ice accumulation in northeastern states.",$1.7 CI,3
Southeastern Tornadoes and Severe WeatherMarch 2018,Severe Storm,"March 18, 2018","March 21, 2018","A potent severe storm system caused over 20 tornadoes across Alabama and also widespread hail damage from Texas to Florida. Most notably this system produced an EF-3 tornado that caused extensive damage in Jacksonville, Alabama and across the campus of Jacksonville State University.",$1.8 CI,0
Hurricane HarveyAugust 2017,Tropical Cyclone,"August 25, 2017","August 31, 2017","Category 4 hurricane made landfall near Rockport, Texas causing widespread damage. Harvey's devastation was most pronounced due to the large region of extreme rainfall producing historic flooding across Houston and surrounding areas. More than 30 inches of rainfall fell on 6.9 million people, while 1.25 million experienced over 45 inches and 11,000 had over 50 inches, based on 7-day rainfall totals ending August 31. This historic U.S. rainfall caused massive flooding that displaced over 30,000 people and damaged or destroyed over 200,000 homes and businesses.",$160.0 CI,89
Midwest Severe WeatherJune 2017,Severe Storm,"June 12, 2017","June 16, 2017","Severe hail, high winds and numerous tornadoes impact many states over several days including WY, TX, NE, KS, MO, IA, IL, PA, VA, NY.",$1.9 CI,0
Colorado Hail Storm and Central Severe WeatherMay 2017,Severe Storm,"May 8, 2017","May 11, 2017","Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding $2.2 ($2.8) billion.",$4.3 CI,0
Missouri and Arkansas Flooding and Central Severe WeatherMay 2017,Flooding,"April 25, 2017","May 7, 2017","A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states.",$2.2 CI,20
South and Southeast Severe WeatherApril 2017,Severe Storm,"April 20, 2017","April 22, 2017","Severe weather including hail, high winds and several tornadoes impacted Oklahoma, Texas, Tennessee, South Carolina, North Carolina and Virginia. These conditions caused damage to homes, businesses, vehicles and other infrastructure.",$1.2* CI,0
Southeast Severe Weather and TornadoesApril 2017,Severe Storm,"April 4, 2017","April 6, 2017","Severe weather and tornadoes impact numerous southern and eastern states. The states most impacted include Alabama, Georgia and Kentucky.",$1.3 CI,1
South/Southeast Severe WeatherMarch 2017,Severe Storm,"March 26, 2017","March 28, 2017","Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes.",$3.5 CI,0
Southern Tornado Outbreak and Western StormsJanuary 2017,Severe Storm,"January 20, 2017","January 22, 2017","High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak of extreme weather during a winter month (Dec.-Feb.) based on records from 1950.",$1.4 CI,24
Rockies/Central Tornadoes and Severe WeatherMay 2016,Severe Storm,"May 21, 2016","May 26, 2016","Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage.",$1.5 CI,0
Plains Tornadoes and Central Severe WeatherMay 2016,Severe Storm,"May 8, 2016","May 11, 2016","Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",$2.3 CI,2
South/Southeast TornadoesApril 2016,Severe Storm,"April 26, 2016","May 2, 2016",Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,$3.2 CI,6
Houston FloodingApril 2016,Flooding,"April 17, 2016","April 18, 2016","A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001.",$3.6 CI,8
North/Central Texas Hail StormApril 2016,Severe Storm,"April 10, 2016","April 12, 2016","Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States.",$4.6 CI,0
North Texas Hail StormMarch 2016,Severe Storm,"March 23, 2016","March 24, 2016","Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",$2.7 CI,0
Southern Severe WeatherMarch 2016,Severe Storm,"March 17, 2016","March 18, 2016","Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi.",$1.6 CI,1
Texas and Louisiana FloodingMarch 2016,Flooding,"March 8, 2016","March 12, 2016","Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed.",$3.1 CI,5
Southeast and Eastern TornadoesFebruary 2016,Severe Storm,"February 22, 2016","February 24, 2016","Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage.",$1.4 CI,10
Texas Tornadoes and Midwest FloodingDecember 2015,Severe Storm,"December 26, 2015","December 29, 2015","A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",$2.6 CI,50
Western and Alaskan WildfiresSummer-Fall 2015,Wildfire,"June 1, 2015","November 30, 2015","Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding $1.0 ($1.3) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX).",$4.0 CI,12
Texas and Oklahoma Flooding and Severe WeatherMay 2015,Flooding,"May 23, 2015","May 26, 2015","A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded $1.0 ($1.4) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",$3.4 CI,31
Southern Plains TornadoesMay 2015,Severe Storm,"May 6, 2015","May 10, 2015","Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",$1.7 CI,4
South and Southeast Severe WeatherApril 2015,Severe Storm,"April 24, 2015","April 25, 2015","Severe weather produced tornadoes, large hail and high wind damage across numerous southern and southeastern states including Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi and Texas. These storms caused widespread impacts to many homes, vehicles and businesses.",$1.3* CI,3
South/Southeast Severe WeatherApril 2015,Severe Storm,"April 18, 2015","April 20, 2015","Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",$1.7 CI,0
Midwest/Ohio Valley Severe WeatherApril 2015,Severe Storm,"April 7, 2015","April 9, 2015","Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",$2.1 CI,2
Western Drought2014,Drought,"January 1, 2014","December 31, 2014","Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",$5.3 CI,0
Rockies/Plains Severe WeatherSeptember 2014,Severe Storm,"September 29, 2014","October 2, 2014","Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area.",$1.9 CI,0
Center Severe WeatherMay 2014,Severe Storm,"May 10, 2014","May 14, 2014","Severe weather including damaging hail, high winds and more than 50 tornadoes impacted Kansas, Nebraska, Missouri, Illinois, Indiana, Ohio and West Virginia. These impacts caused damage to homes, businesses, vehicles and other infrastructure.",$1.1* CI,0
Central Severe WeatherApril 2014,Severe Storm,"April 12, 2014","April 13, 2014","Severe weather produced hail and high wind damage across several central states including Illinois, Iowa, Michigan, Wisconsin and Texas. The damage was most focused in Illinois and Michigan, as storms caused impacts to many homes, vehicles and businesses.",$1.2* CI,0
Plains Severe WeatherApril 2014,Severe Storm,"April 2, 2014","April 3, 2014","Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas.",$1.9 CI,0
Western/Plains Drought/Heat WaveSpring-Fall 2013,Drought,"March 1, 2013","November 30, 2013","The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses across the central agriculture states.",$14.3 CI,53
Midwest/Plains/Northeast TornadoesMay 2013,Severe Storm,"May 27, 2013","May 31, 2013","Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",$2.4 CI,10
Midwest/Plains/East TornadoesMay 2013,Severe Storm,"May 18, 2013","May 22, 2013","Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",$3.2 CI,27
Southern Severe WeatherFebruary 2013,Severe Storm,"February 24, 2013","February 25, 2013","Severe weather produced severe hail and wind damage across several southern states including Louisiana, Oklahoma and Texas. The damage was most focused in Louisiana near New Orleans, as severe hail caused significant damage costs to many homes, vehicles and businesses.",$1.3* CI,1
U.S. Drought/Heat Wave2012,Drought,"January 1, 2012","December 31, 2012","The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heat wave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",$41.7 CI,123
Western WildfiresSummer-Fall 2012,Wildfire,"June 1, 2012","November 30, 2012","Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",$2.4 CI,8
Rockies/Southwest Severe WeatherJune 2012,Severe Storm,"June 6, 2012","June 12, 2012","Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over $1.0 ($1.4) billion in damage due to hail.",$3.6 CI,0
Southern Plains/Midwest/Northeast Severe WeatherMay 2012,Severe Storm,"May 25, 2012","May 30, 2012","Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",$3.2 CI,1
Midwest/Ohio Valley Severe WeatherApril-May 2012,Severe Storm,"April 28, 2012","May 1, 2012","Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail.",$4.5 CI,1
Texas TornadoesApril 2012,Severe Storm,"April 2, 2012","April 3, 2012",Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.,$1.4 CI,0
"Texas, New Mexico, Arizona WildfiresSummer-Fall 2011",Wildfire,"June 1, 2011","November 30, 2011","Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",$2.5 CI,5
Southern Plains/Southwest Drought and Heat WaveSpring-Summer 2011,Drought,"March 1, 2011","August 31, 2011","Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",$17.1 CI,95
Midwest/Southeast Tornadoes and Severe WeatherJune 2011,Severe Storm,"June 18, 2011","June 22, 2011","Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC).",$2.2 CI,3
Midwest/Southeast TornadoesMay 2011,Severe Storm,"May 22, 2011","May 27, 2011","Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950.",$12.7 CI,177
Southeast/Ohio Valley/Midwest TornadoesApril 2011,Severe Storm,"April 25, 2011","April 28, 2011","Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.More Info…",$14.3 CI,321
Ohio Valley Derecho and Southern TornadoesApril 2011,Severe Storm,"April 19, 2011","April 20, 2011","Dozens of tornadoes and a derecho affect numerous states (AR, IL, IN, KY, MO, OH, TN, TX) across the Ohio Valley and South.",$1.5 CI,0
Midwest/Southeast TornadoesApril 2011,Severe Storm,"April 14, 2011","April 16, 2011","Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes.",$2.9 CI,38
Southeast/Midwest TornadoesApril 2011,Severe Storm,"April 8, 2011","April 11, 2011","Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes.",$3.1 CI,0
Groundhog Day BlizzardFebruary 2011,Winter Storm,"February 1, 2011","February 3, 2011","A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",$2.6 CI,36
"Oklahoma, Kansas, and Texas Tornadoes and Severe WeatherMay 2010",Severe Storm,"May 10, 2010","May 12, 2010","An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > $1.5 ($2.2) billion in damages.",$4.8 CI,3
Southwest/Great Plains Drought2009,Drought,"January 1, 2009","December 31, 2009","Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",$5.2 CI,0
Western WildfiresSummer-Fall 2009,Wildfire,"June 1, 2009","November 30, 2009","Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National wildfire acreage burned exceeds 5.9 million acres. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",$1.5 CI,10
"Midwest, South and East Severe WeatherJune 2009",Severe Storm,"June 9, 2009","June 12, 2009","Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA).",$1.9 CI,0
Central Derecho and TornadoesMay 2009,Severe Storm,"May 7, 2009","May 9, 2009","More than 50 tornadoes and large hail from severe storms caused damage across many southeastern states (IL, KS, KY, MO, TN, TX).",$1.3* CI,7
Midwest/Southeast TornadoesMarch 2009,Severe Storm,"March 25, 2009","March 28, 2009","Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed.",$2.4 CI,0
Southeast/Ohio Valley Severe WeatherFebruary 2009,Severe Storm,"February 10, 2009","February 11, 2009","Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA).",$2.6 CI,10
U.S. Drought2008,Drought,"January 1, 2008","December 31, 2008","Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",$10.5 CI,0
U.S. WildfiresFall 2008,Wildfire,"September 1, 2008","November 30, 2008","Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",$1.8 CI,16
Hurricane IkeSeptember 2008,Tropical Cyclone,"September 12, 2008","September 14, 2008","Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries.",$43.2 CI,112
Hurricane DollyJuly 2008,Tropical Cyclone,"July 23, 2008","July 25, 2008",Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,$1.8 CI,3
Southern Severe WeatherApril 2008,Severe Storm,"April 9, 2008","April 11, 2008","Severe storms affect Arkansas, Oklahoma and Texas across the South.",$1.5 CI,2
Southeast Tornadoes and Severe WeatherFebruary 2008,Severe Storm,"February 5, 2008","February 6, 2008","Series of tornadoes and severe thunderstorms across the Southeast and Midwest states (AL, AR, IN, KY, MS, OH, TN, TX) with 87 tornadoes confirmed.",$1.8 CI,57
East/South Severe Weather and FloodingApril 2007,Severe Storm,"April 13, 2007","April 17, 2007","Flooding, hail, tornadoes, and severe thunderstorms across numerous states (CT, DE, GA, LA, ME, MD, MA, MS, NH, NJ, NY, NC, PA, RI, SC, TX, VT, VA) in mid-April, including 3 ""killer"" tornadoes.",$3.8 CI,9
Numerous Wildfires2006,Wildfire,"January 1, 2006","December 31, 2006","Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",$2.3 CI,28
Midwest/Plains/Southeast DroughtSpring-Summer 2006,Drought,"March 1, 2006","August 31, 2006","Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",$9.5 CI,0
Severe Storms and TornadoesMarch 2006,Severe Storm,"March 8, 2006","March 13, 2006","Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK.",$2.1 CI,10
Hurricane RitaSeptember 2005,Tropical Cyclone,"September 20, 2005","September 24, 2005","Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin.",$29.4 CI,119
Southeast Severe WeatherMarch 2005,Severe Storm,"March 24, 2005","March 27, 2005","Severe storms cause widespread hail damage across numerous states including TX, AL, MS, GA, FL, NC and VA.",$1.4* CI,0
Severe Storms/HailApril 2003,Severe Storm,"April 4, 2003","April 7, 2003","Severe storms and large hail over the southern plains and lower MS valley, with Texas hardest hit, and much of the monetary losses due to hail.",$3.5 CI,3
U.S. DroughtSpring-Fall 2002,Drought,"March 1, 2002","November 30, 2002","Moderate to extreme drought over large portions of more than 30 states, including the western states, the Great Plains, and much of the eastern U.S.",$16.0 CI,0
Severe Storms and TornadoesApril 2002,Severe Storm,"April 27, 2002","April 28, 2002","Numerous tornadoes and widespread hail damage over the Central and Eastern states including NC, GA, VA, TX, AR, MO, MS, TN, IL, IN, KY, PA, MD, NY, OH, WV, and KS.",$3.7 CI,7
Tropical Storm AllisonJune 2001,Tropical Cyclone,"June 5, 2001","June 17, 2001","The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",$15.1 CI,43
Midwest/Ohio Valley Hail and TornadoesApril 2001,Severe Storm,"April 6, 2001","April 11, 2001","Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",$5.5 CI,3
Western/Central/Southeast Drought/Heat WaveSpring-Fall 2000,Drought,"March 1, 2000","November 30, 2000","Western/Central/Southeast Drought/Heat Wave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",$9.3 CI,140
Southern Severe WeatherMarch 2000,Severe Storm,"March 28, 2000","March 29, 2000","Severe weather produced tornadoes, hail and high wind damage across Louisiana and Texas. The damage was most focused in northeastern Texas. These storms caused impacts to many homes, vehicles and businesses.",$1.3* CI,0
Oklahoma and Kansas TornadoesMay 1999,Severe Storm,"May 3, 1999","May 6, 1999","Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",$3.8 CI,55
